TractNum,Location,Total Unsheltered,Total Sheltered,Total Population
192420,Greater Wilshire NC,2.873,0,2.873
192510,Wilshire Center-Koreatown NC,30.583,0,30.583
192520,Wilshire Center-Koreatown NC,5.032,0,5.032
192610,Wilshire Center-Koreatown NC,25.184,0,25.184
192620,Wilshire Center-Koreatown NC,10.489,0,10.489
192700,East Hollywood NC,151.1,40,191.1
194101,Hollywood Hills West NC,0,0,0
194102,Hollywood Hills West NC,0,0,0
194200,Bel Air-Beverly Crest NC,0,0,0
194300,Bel Air-Beverly Crest NC,0,0,0
194401,Mid-City West NC,11.746,0,11.746
194402,Mid-City West NC,8.746,0,8.746
194500,Mid-City West NC,30.802,0,30.802
195100,Silver Lake NC,2.427,0,2.427
195201,Los Feliz NC,0,0,0
195202,Los Feliz NC,0,0,0
195300,Los Feliz NC,29.887,0,29.887
195400,Silver Lake NC,6.204,0,6.204
195500,Silver Lake NC,19.549,0,19.549
195600,Greater Echo Park Elysian NC,42.803,43,85.803
195710,Greater Echo Park Elysian NC,93.286,0,93.286
195720,Greater Echo Park Elysian NC,43.247,0,43.247
195802,Rampart Village NC,74.101,0,74.101
195803,Silver Lake NC,5.36,0,5.36
195804,Silver Lake NC,30.06,0,30.06
195901,Silver Lake NC,1,0,1
195902,Silver Lake NC,0,0,0
195903,Silver Lake NC,16.078,0,16.078
197200,Elysian Valley Riverside NC,3.855,0,3.855
197300,Greater Echo Park Elysian NC,1,0,1
197410,Greater Echo Park Elysian NC,10.616,0,10.616
197420,Greater Echo Park Elysian NC,12.137,0,12.137
197500,Greater Echo Park Elysian NC,108.05,21,129.05
197600,Greater Echo Park Elysian NC,53.598,0,53.598
197700,Historic Cultural NC,11.15,0,11.15
199000,Lincoln Heights NC,141.57,0,141.57
199110,LA-32 NC,1.958,0,1.958
199120,Lincoln Heights NC,26.42,0,26.42
199201,Lincoln Heights NC,26.42,0,26.42
199202,Lincoln Heights NC,5.258,0,5.258
199300,Arroyo Seco NC,21.016,0,21.016
199400,Arroyo Seco NC,25.291,0,25.291
199700,Lincoln Heights NC,33.892,0,33.892
199800,Lincoln Heights NC,27.229,0,27.229
199900,Lincoln Heights NC,28.44,0,28.44
201110,LA-32 NC,3.402,0,3.402
201120,LA-32 NC,6.746,0,6.746
201200,LA-32 NC,6.129,0,6.129
201301,LA-32 NC,21.576,0,21.576
201302,Arroyo Seco NC,1.958,0,1.958
201401,LA-32 NC,0,0,0
201402,LA-32 NC,16.363,0,16.363
201501,LA-32 NC,6.385,0,6.385
201503,LA-32 NC,4,0,4
201504,LA-32 NC,8.044,0,8.044
201601,LA-32 NC,3,0,3
201602,LA-32 NC,21.739,0,21.739
201700,California State University - Los Angeles,36.239,0,36.239
203100,California State University - Los Angeles,27.92,0,27.92
203200,Boyle Heights NC,12.616,0,12.616
203300,Lincoln Heights NC,37.516,23,60.516
203500,Boyle Heights NC,39.374,0,39.374
203600,Boyle Heights NC,14.575,26,40.575
203710,Boyle Heights NC,0,0,0
203720,Boyle Heights NC,2.427,0,2.427
203800,Boyle Heights NC,14.982,0,14.982
203900,Boyle Heights NC,32.484,0,32.484
204110,Boyle Heights NC,22.267,0,22.267
204120,Boyle Heights NC,0,0,0
204200,Boyle Heights NC,31,0,31
204300,Boyle Heights NC,5.873,0,5.873
204410,Boyle Heights NC,18.286,0,18.286
204420,Boyle Heights NC,20.396,79,99.396
204600,Boyle Heights NC,59.085,0,59.085
204700,Boyle Heights NC,23.764,0,23.764
204810,Boyle Heights NC,10.173,0,10.173
204820,Boyle Heights NC,3.659,0,3.659
204910,Boyle Heights NC,26.825,0,26.825
204920,Boyle Heights NC,104.31,0,104.31
205110,Boyle Heights NC,5.104,0,5.104
205120,Boyle Heights NC,61.289,0,61.289
206010,Historic Cultural NC,66.41,0,66.41
206020,Historic Cultural NC,141.21,0,141.21
206031,Downtown Los Angeles NC,258.32,0,258.32
206032,Boyle Heights NC,96.768,74,170.77
206050,Boyle Heights NC,206.29,0,206.29
206200,Skid Row,650.36,55,705.36
206300,Skid Row,1271.7,1908,3179.7
207101,Historic Cultural NC,37.683,0,37.683
